recipient_name,prob,sum
Central African Republic,0.678571428571429,2907.303394
Ecuador,0.666666666666667,822.469251
West Bank and Gaza Strip,0.65625,9386.542809
South Sudan,0.636363636363636,11499.30828
Vanuatu,0.62962962962963,228.428936
Rwanda,0.625,789.570793
Uganda,0.625,3724.577874
Viet Nam,0.625,785.568934
Croatia,0.611111111111111,85.851314
Madagascar,0.607142857142857,807.444249
Micronesia,0.6,99.117089
Cambodia,0.59375,292.47585
Democratic Republic of the Congo,0.59375,11243.748658
Mexico,0.59375,410.911299
Syrian Arab Republic,0.59375,67214.784793
Togo,0.592592592592593,54.417594
Georgia,0.586206896551724,854.39748
Burkina Faso,0.580645161290323,1360.989088
Nigeria,0.580645161290323,4823.450296
Democratic People's Republic of Korea,0.576923076923077,1015.088062
Sao Tome and Principe,0.576923076923077,16.985041
Tajikistan,0.571428571428571,347.940024
Armenia,0.566666666666667,163.546645
Colombia,0.566666666666667,3671.183769
Myanmar,0.566666666666667,3056.701279
Algeria,0.5625,575.150532
Angola,0.5625,1388.558162
Cameroon,0.5625,1183.86311
Iran,0.5625,509.403802
Jordan,0.5625,5394.599105
Philippines,0.5625,3936.285478
Sierra Leone,0.5625,1618.608609
Somalia,0.5625,10861.265502
Sri Lanka,0.5625,2613.266551
Cabo Verde,0.555555555555556,61.616573
Chile,0.555555555555556,77.175725
Venezuela,0.551724137931035,789.799645
Bangladesh,0.548387096774194,5116.874582
Djibouti,0.548387096774194,306.134486
Kenya,0.548387096774194,5499.379072
Niger,0.548387096774194,3000.888331
Guinea-Bissau,0.541666666666667,76.330387
Brazil,0.53125,423.247578
Burundi,0.53125,2084.869755
China (People's Republic of),0.53125,1210.302653
Ethiopia,0.53125,15361.109373
India,0.53125,1908.100053
Iraq,0.53125,13485.859377
Mozambique,0.53125,1695.413296
Peru,0.53125,691.622557
Tanzania,0.53125,1301.989186
Türkiye,0.53125,6730.409837
Yemen,0.53125,16619.828038
Zimbabwe,0.53125,3001.844337
Zambia,0.526315789473684,439.104566
Tonga,0.521739130434783,108.646533
Moldova,0.52,222.26988
Bhutan,0.518518518518519,74.186448
Guatemala,0.517241379310345,845.10622
Barbados,0.5,4.605247
Chad,0.5,3862.058609
Côte d'Ivoire,0.5,1020.227945
Dominican Republic,0.5,376.390368
Egypt,0.5,757.138146
El Salvador,0.5,577.740126
French Polynesia,0.5,0.116468
Israel,0.5,1.21805
Liberia,0.5,1964.299358
Marshall Islands,0.5,25.451446
Pakistan,0.5,9007.105336
Samoa,0.5,125.762258
Senegal,0.5,397.403607
Solomon Islands,0.5,99.59236
Tunisia,0.5,255.749835
Uzbekistan,0.5,21.125066
Eritrea,0.483870967741936,846.032628
Cuba,0.482758620689655,184.325395
Nepal,0.482758620689655,1848.364133
Comoros,0.481481481481482,69.488634
Gambia,0.481481481481482,52.703374
Paraguay,0.481481481481482,54.453053
Saint Lucia,0.481481481481482,54.987802
Turkmenistan,0.481481481481482,13.026054
Dominica,0.478260869565217,79.043371
Uruguay,0.473684210526316,3.424665
Afghanistan,0.46875,14754.216963
Costa Rica,0.46875,144.950457
Haiti,0.46875,4853.541653
Honduras,0.46875,653.458598
Malawi,0.46875,1039.367273
South Africa,0.46875,189.47508
Sudan,0.46875,17697.107187
Azerbaijan,0.464285714285714,188.974207
Bosnia and Herzegovina,0.464285714285714,872.571064
Lao People's Democratic Republic,0.464285714285714,187.899345
Mali,0.464285714285714,2318.687068
North Macedonia,0.464285714285714,151.161096
Morocco,0.461538461538462,826.296171
Kazakhstan,0.458333333333333,38.511677
Timor-Leste,0.458333333333333,337.972792
Argentina,0.451612903225806,87.083897
Niue,0.45,7.664594
Botswana,0.448275862068966,21.552405
Guyana,0.444444444444444,16.64616
Serbia,0.444444444444444,928.329812
Fiji,0.4375,239.223955
Guinea,0.4375,496.873133
Mauritania,0.4375,663.791309
Nicaragua,0.4375,462.574686
Palau,0.4375,6.980947
Thailand,0.4375,924.527637
Montenegro,0.434782608695652,35.848752
Indonesia,0.433333333333333,3978.002367
Papua New Guinea,0.433333333333333,215.306202
Gabon,0.428571428571429,7.728269
Maldives,0.428571428571429,110.358273
Albania,0.419354838709677,255.484261
Ghana,0.419354838709677,106.604783
Mongolia,0.419354838709677,87.714468
Belarus,0.411764705882353,42.338242
Bolivia,0.411764705882353,664.379914
Ukraine,0.411764705882353,4230.953955
Montserrat,0.409090909090909,13.975591
Eswatini,0.407407407407407,73.895867
Kyrgyzstan,0.407407407407407,241.063567
Lesotho,0.407407407407407,138.445544
Lebanon,0.40625,6668.926674
Congo,0.4,273.535204
Malaysia,0.4,117.715899
Tokelau,0.4,2.047626
Tuvalu,0.4,23.392846
Cook Islands,0.391304347826087,19.269524
Belize,0.384615384615385,21.245269
Libya,0.375,1421.976522
Namibia,0.375,58.317329
Grenada,0.37037037037037,62.018253
Mauritius,0.37037037037037,28.072502
Saint Vincent and the Grenadines,0.37037037037037,107.90449
Benin,0.36,137.05377
Panama,0.354838709677419,363.51165
East African Community,0.333333333333333,1.891511
Equatorial Guinea,0.333333333333333,8.142348
Netherlands Antilles,0.333333333333333,4.039186
Saint Helena,0.333333333333333,5.006131
Saint Kitts and Nevis,0.333333333333333,1.039785
Slovenia,0.333333333333333,2.260634
Suriname,0.333333333333333,9.509033
Seychelles,0.315789473684211,4.288159
Wallis and Futuna,0.3125,8.328102
Kiribati,0.296296296296296,7.702061
Nauru,0.296296296296296,5.361541
Oman,0.285714285714286,33.12955
Jamaica,0.272727272727273,159.436345
Kosovo,0.260869565217391,128.001009
Antigua and Barbuda,0.24,19.85857
Trinidad and Tobago,0.214285714285714,0.449041
Anguilla,0.2,0.359339
Cyprus,0,0.188092
Bahamas,,0.040914
Bahrain,,0.023237
Bermuda,,0.109939
British Virgin Islands,,0.108792
Brunei Darussalam,,0.07301
Chinese Taipei,,0.123588
Hong Kong (China),,0.031545
Kuwait,,0.476438
Mayotte,,0.022153
Northern Mariana Islands,,0.665612
Singapore,,0.034978
Turks and Caicos Islands,,0.530593
United Arab Emirates,,0.802581
